name,search_word,lati,longi,u_time,time_mor,time_nig,six,seven,eight,nine,ten,eleven,twelve,thirteen,fourteen,fifteen,sixteen,seventeen,eighteen,nineteen,twenty,twenty_one,twenty_two,twenty_three,s_six,s_seven,s_eight,s_nine,s_ten,s_eleven,s_twelve,s_thirteen,s_fourteen,s_fifteen,s_sixteen,s_seventeen,s_eighteen,s_nineteen,s_twenty,s_twenty_one,s_twenty_two,s_twenty_three
臺北圓山店,迷客夏Milksha 臺北圓山店,25.0721509,121.5147971,平日：10:00 22:00 假日：10:00 22:00,10,22,0,0,0,0,0,0,0,0,4,9,9,13,9,9,4,0,0,0,0,0,0,0,0,0,4,13,36,40,36,50,100,95,72,27,0,0
臺北延吉店,迷客夏Milksha 臺北延吉店,25.0387684,121.555251,平日：09:30 22:30 假日：10:00 22:30,9,22,0,0,0,30,43,43,56,53,56,48,56,79,97,89,82,48,17,0,0,0,0,0,12,23,30,30,41,51,61,66,48,33,30,20,20,0
臺北西門町店,迷客夏Milksha 臺北西門町店,25.0419573,121.5072297,平日：10:00 22:30 假日：10:00 22:30,10,22,0,0,0,0,7,13,23,23,26,30,46,59,69,63,63,38,0,0,0,0,0,0,15,32,53,75,82,92,100,100,84,71,61,38,0,0
臺北西湖店,迷客夏Milksha 臺北西湖店,25.0845978,121.5674589,平日：10:00 21:30 假日：10:00 21:30,10,21,0,0,0,0,70,41,41,29,29,41,47,35,41,58,35,35,0,0,0,0,0,0,29,47,47,58,64,70,70,58,35,23,11,11,0,0
臺北車站店 (櫃位門市),迷客夏Milksha 臺北車站店,25.046582,121.5163683,平日：10:00 22:30 假日：10:00 22:30,10,22,0,0,0,0,11,14,29,26,38,73,76,91,76,64,29,14,0,0,0,0,0,0,35,26,32,20,8,11,17,35,44,44,61,58,0,0
臺北政大店,迷客夏Milksha 臺北政大店,24.9879789,121.5746215,平日：10:00 22:00 假日：10:00 22:00,10,22,0,0,0,0,0,11,35,47,52,41,11,0,11,35,47,52,0,0,0,0,0,0,0,5,11,29,23,17,17,29,41,41,29,29,0,0
臺北昆陽店,迷客夏Milksha 臺北昆陽店,25.0500126,121.5930925,平日：10:00 22:00 假日：10:00 22:00,10,22,0,0,0,0,38,46,30,23,15,30,30,46,23,7,7,7,0,0,0,0,0,0,30,23,38,30,15,15,38,76,76,69,76,46,0,0
臺北師大店,迷客夏Milksha 臺北師大店,25.0243684,121.5286511,平日：10:00 22:30 假日：10:00 23:30,10,22,0,0,0,0,21,50,78,64,53,42,42,60,71,53,39,17,17,0,0,0,0,0,39,53,57,50,39,57,71,100,96,78,67,57,35,0
臺北大直店,迷客夏Milksha 臺北大直店,25.0814509,121.5488014,平日：10:00 22:00 假日：10:00 22:00,10,22,0,0,0,0,27,40,38,30,34,43,47,41,36,29,18,7,0,0,0,0,0,0,41,61,72,74,74,76,83,87,74,67,50,32,0,0
臺北華碩店 (櫃位門市),迷客夏Milksha 臺北華碩店,25.1270049,121.4708568,平日：08:00 20:30 假日：休假,8,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
臺北時代百貨店 (櫃位門市),迷客夏Milksha 臺北時代百貨店,25.0406227,121.5654586,平日：11:00 22:00 假日：11:00 22:00,11,22,0,0,0,0,0,60,32,20,36,28,32,16,12,4,0,12,0,0,0,0,0,0,0,48,28,24,24,28,20,20,8,4,8,8,0,0
