地址,緯度,經度
高雄市 楠梓區 後昌路622號,,
台北市 松山區 南京東路四段166號,,
台中市 烏日區 站區二路8號,,
台北市 萬華區 東園街106號,,
桃園市 楊梅區 大成路165號,,
高雄市 新興區 林森一路230號,,
新北市 新莊區 中原路558號1樓,,
台中市 霧峰區 南柳里福新路222號B1,,
台中市 西屯區 市政北二路236號三樓之1 (櫃位307),,
台北市 內湖區 堤頂大道二段407巷24號1樓,,
台北市 大安區 信義路三段104號,,
台北市 大同區 南京西路264號,,
桃園市 龍潭區 龍園六路101號A2,,
台北市 大安區 仁愛路四段151巷25號,,
新北市 三重區 集智街56號,,
台中市 北屯區 東山路一段318-1號,,
台中市 中區 民權路60號,,
台南市 中西區 海安路一段96號,,
台北市 士林區 承德路四段250號,,
台北市 內湖區 瑞光路316巷58號,,
台北市 中正區 南海路36號,,
台北市 大安區 和平東路三段310號1樓,,
台北市 南港區 忠孝東路七段369號,,
台北市 信義區 忠孝東路五段514號,,
台北市 萬華區 昆明街86號,,
新竹市 東區 食品路63號,,
台中市 北區 漢口路四段316號,,
台北市 信義區 松山路11號3樓,,
台北市 中山區 民權西路3號、5號,,
新北市 土城區 青雲路240號,,
新竹市 東區 光復路二段101號(國立清華大學圖書館-旺宏館),,
台中市 西屯區 福星北路50號1樓,,
台北市 中正區 忠孝東路一段148號,,
台北市 大安區 基隆路三段155巷57號,,
台北市 萬華區 青年路14號1樓,,
新北市 石碇區 文山路一段6號(石碇服務區),,
新竹市 大學路1001號女二舍1F,,
新北市 新莊區 中正路285號,,
台北市 大安區 通化街1號,,
台北市 內湖區 港墘路123號1F+B1F,,
台北市 大安區忠孝東路四段71號1F,,
台北市 南港區 忠孝東路七段620號B1+1F,,
新北市 樹林區 學勤路259號,,
台北市 信義區 基隆路二段16號,,
台北市 中山區中山北路二段48巷7號,,
苗栗縣 竹南鎮 民族街81號,,
桃園市 八德區 廣福路230號,,
南投縣 水里鄉 車埕村民權巷127號,,
台北市 松山區 敦化北路315號、315之1號 1樓,,
新北市 中和區 連城路469-1號,,
台北市 中正區 沅陵街6號,,
台中市 霧峰區 樹仁路52號,,
新北市 板橋區 南雅南路二段21號B1,,
台北市 中山區 錦州街3號,,
彰化縣 北斗鎮 中山路二段57號,,
台北市 松山區 健康路9號,,
台北市 中山區 南京東路二段6號1樓,,
台北市 士林區 中山北路七段141巷2號,,
台北市 中山區 錦州街436號,,
台北市 信義區 松智路17號(微風南山2F),,
高雄市 大社區大社路42號,,
300新竹市 東區 立鵬路158號,,
新北市 新店區 中正路696號1樓,,
台中市 北屯區 榮德路263號,,
新北市 新莊區 思源路127號,,
台北市 大安區 忠孝東路三段172號,,
南投縣 草屯鎮 中正路844號,,
新北市 新店區 中正路368號1-2F,,
新竹市 東區 建功二路28號1F,,
台北市 信義區 基隆路一段188-1號1樓,,
台北市 大安區 和平東路二段255號,,
新北市 土城區 金城路三段195號,,
高雄市 仁武區 京吉六路27號,,
桃園市 桃園區 中山路1492號,,
台北市 中山區 合江街27、29號1F,,
新北市 板橋區 中正路237號,,
台中市 潭子區 勝利路246號1.2樓,,
台北市 大安區 敦化南路二段277號1F,,
台北市 大安區 信義路四段116號 B1.1F,,
台北市 北投區 學原路2號 愛園大樓,,
新北市 蘆洲區 民族路366號,,
嘉義縣 番路鄉 觸口村車埕51號,,
彰化縣 員林市 大同路二段96號,,
台北市 士林區 承德路四段166號1樓,,
新北市 新莊區 幸福路788號 1F、2F,,
台北市 大安區 延吉街137巷4號,,
新北市 板橋區 重慶路32號,,
新北市 板橋區 三民路二段141號,,
台北市 士林區 至誠路二段35號1F+B1,,
