品牌,門市名稱,座標,地址,營業時間
85度C,85度C中清經貿店,"24.1883321,120.6622595",台中市北屯區中清路二段937號,07:00~24:00
85度C,85度C台中東山店,"24.1700809,120.7080979",台中市北屯區東山路一段156-10號,07:00~24:00
85度C,85度C台中昌平店,"24.1767655,120.6905133",台中市北屯區昌平路一段454號,06:30~24:00
85度C,85度C台中崇德店,"24.1813934,120.6857928",台中市北屯區崇德路2段1號,24小時
85度C,85度C關渡知行店,"25.1220669,121.4672023",台北市北投區知行路299號,07:00~21:00
85度C,85度C北投中和店,"25.1409554,121.4996722",台北市北投區中和街335號,07:00~21:00
85度C,85度C彰化北斗店,"23.87295595933507, 120.52408481237622",彰化縣北斗鎮中華路193號1樓,07:00~23:00
85度C,85度C雲林北港店,"23.5711961,120.3023649",雲林縣北港鎮大同路129號,06:30~22:30
85度C,85度C台南健康店,"22.9817494,120.1916844",台南市南區健康路2段222號,06:30~23:30
85度C,85度C興大圓廳店,"24.123354298856107, 120.67694829408957",台中市南區興大路145號 中興大學圓廳餐廳 ,平日07:30~21:00假日08:00~晚上19:00
85度C,85度C台南永成店,"22.96249,120.1952798",台南市南區中華南路二段2號,07:00~22:00
85度C,85度C台中復興店,"24.1342801,120.6828411",台中市南區復興路三段388號,07:00~23:00
85度C,85度C台中高工店,"24.1141774,120.6675729",台中市南區高工路388-9號,07:00~21:00
85度C,85度C台中大業店,"24.1539908,120.6348886",台中市南屯區大業路606號,06:30~23:00
85度C,85度C台中嶺東店,"24.1476151,120.6116567",台中市南屯區嶺東路680號,07:00~22:45
85度C,85度C屏東南州店,"22.4899785,120.5102501",屏東縣南州鄉三民路27號,08:00~21:00
85度C,85度C南投大同店,"23.9055672,120.6884359",南投縣南投市大同南街109號,07:30~23:00
85度C,85度C南投中興店,"23.946754,120.6917394",南投縣南投市中學西路42-1號,07:00~21:00
85度C,85度C台北中研店,"25.0520436,121.6159164",台北市南港區研究院路一段110號,07:00~22:30
85度C,85度C台北同德店,"25.0450795,121.584024",台北市南港區同德路26號,07:00~23:00
85度C,85度C馬祖南竿店,"26.160562028603977, 119.94342967774382",連江縣南竿鄉清水村84-11號,07:00~20:00
85度C,85度C名間彰南店,"23.8365338,120.7038007",南投縣名間鄉彰南路23-3號,週日~週四06:30~20：30週五~週六06:30~21:00
85度C,85度C后里甲后店,"24.3089866,120.7219725",台中市后里區甲后路一段570號,07:00~22:00
85度C,85度C彰化和美店,"24.1076976,120.4940219",彰化縣和美鎮鹿和路6段289號,07:00~23:00
85度C,85度C和美彰新店,"24.1081329,120.528739",彰化縣和美鎮彰新路三段187號,06:30~22:00
85度C,85度C宜蘭員山店,"24.746576,121.72896",宜蘭縣員山鄉員山路一段121號,07:00~21:00
85度C,85度C員林靜修店,"23.9621598,120.5675521",彰化縣員林市靜修路57號,07:00~23:00
85度C,85度C員林大同店,"23.9599804,120.5803168",彰化縣員林市大同路一段205號,06:30~23:00
85度C,85度C員林員集店,"23.9422806,120.5762472",彰化縣員林市員集路2段279號,06:30~21:30
85度C,85度C善化中山店,"23.1323514,120.2990645",台南市善化區中山路217號,07:00~22:00
85度C,85度C台積電14P店,"23.1142713,120.2745445",台南市善化區南科北路1-1號,早上08:00~晚上19:00
85度C,85度C土城延和店,"24.9897503,121.4699766",新北市土城區延和路217號,07:00~22:00
85度C,85度C土城裕民店,"24.987742545920963, 121.4486303666767",新北市土城區裕生路1號1樓,24小時
85度C,85度C彰化埔心店,"23.9515948,120.5441228",彰化縣埔心鄉東門村中正路一段296號,07:00~23:00
85度C,85度C埔里中正店,"23.9621963,120.9702705",南投縣埔里鎮中正路275-2號,06:30~23:30
85度C,85度C埔里中山店,"23.9685118,120.9589929",南投縣埔里鎮中山路三段224號,07:00~24:00
85度C,85度C彰化埤頭店,"23.891379,120.4609851",彰化縣埤頭鄉合興村斗苑西路185號,07:00~22:00
85度C,85度C士林基河店,"25.0884847,121.5237492",台北市士林區基河路133號,08:30~24:00
85度C,85度C宜蘭壯圍店,"24.746084502414295, 121.7859169303196",宜蘭縣壯圍鄉中央路二段267號1樓,07:00~21:00
85度C,85度C外埔甲后店,"24.3418418,120.6383175",台中市外埔區甲后路五段25號,07:00~22:00
85度C,85度C大園菓林店,"25.075581,121.2582719",桃園市大園區菓林路85號,06:00~22:00
85度C,85度C大園中山店,"25.06392012309427, 121.19721504646601",桃園市大園區中山南路1號1F,早上06:40~晚上22:00週五 早上07:00~晚上23:00 
85度C,85度C台北和平東店,"25.0196367,121.5573106",台北市大安區和平東路三段342號,08:00~23:00
85度C,85度C科技大樓店,"25.0249706,121.5414512",台北市大安區和平東路二段98號,07:00~22:00
85度C,85度C大村山腳店,"23.9906978,120.5851005",彰化縣大村鄉山腳路86號,07:00~21:00
85度C,85度C彰化大村店,"23.9886358,120.564154",彰化縣大村鄉中山路2段291號,07:00~22:00
85度C,85度C嘉義大林店,"23.6061553,120.4558914",嘉義縣大林鎮中山路237號,07:00~22:00
85度C,85度C桃園大溪店,"24.8801557,121.2896559",桃園市大溪區復興路38號,07:00~21:30
85度C,85度C大溪員林店,"24.8987616,121.282212",桃園市大溪區員林路一段68號,06:30~22:00
85度C,85度C大甲大甲店,"24.3442204,120.6232404",台中市大甲區光明路84號,07:00~22:00
85度C,85度C台中大肚店,"24.15399,120.544627",台中市大肚區沙田路2段774號,07:00~23:00
85度C,85度C大里新仁店,"24.1106184,120.7012465",台中市大里區新仁路一段215-1號,07:00~22:00
85度C,85度C大里草湖店,"24.082527520018818, 120.69722891850736","台中市大里區中興路一段105號,107號",06:30~22:30
85度C,85度C大里仁化店,"24.091433,120.7297574",台中市大里區仁化路1號,06:00~21:30
85度C,85度C大里成功店,"24.0916089,120.7032955",台中市大里區向學一路147號,06:30~23:00
85度C,85度C大里中興店,"24.1102647,120.6897122",台中市大里區中興路2段315號,06:00~23:00
85度C,85度C大里永隆店,"24.1150057,120.6744571",台中市大里區大明路490號,06:30~24:00
85度C,85度C大雅學府店,"24.2268157,120.6483249",台中市大雅區學府路382號,06:00~23:30
85度C,85度C嘉義縣府店,"23.4596325,120.2964121",嘉義縣太保市嘉朴東路一段20號,07:00~21:00
85度C,85度C嘉義太保店,"23.49686,120.3814606",嘉義縣太保市北港路二段102號,07:00~22:30
85度C,85度C台中勤益店,"24.1435914,120.7337599",台中市太平區中山路一段253號,07:00~22:00
85度C,85度C太平中山店,"24.1482521,120.7030049",台中市太平區中山路4段174號,07:00~21:00
85度C,85度C太平太平店,"24.125062,120.7134819",台中市太平區太平路527號,週日～週四7:00-22:00週五、週六7:00-22:30
85度C,85度C台南學甲店,"23.2306563,120.1827661",台南市學甲區華宗路306號,06:30~22:00
85度C,85度C台南安南店,"23.0270575,120.1911934",台南市安南區海佃路一段336號,週一~週六：早上07:00~晚上22:00；週日：早上08:00~晚上22:00
85度C,85度C台南安和店,"23.041966,120.2162236",台南市安南區安和路二段282號,週一~週五：早上07:00~晚上21:30；週六~週日：早上07:30~晚上21:30
85度C,85度C台南北安店,"23.0385736,120.2027697",台南市安南區北安路二段660號,週一~週五：早上07:00~晚上22:30；週六~週日：早上08:00~晚上22:30
85度C,85度C台南華平店,"22.9937231,120.1752774",台南市安平區華平路507號,週日~週四：早上07:00~晚上22:00；週五~週六：早上07:00~晚上23:00
85度C,85度C基隆樂一店,"25.1317747,121.7346428",基隆市安樂區樂一路2之1號,06:00~24:00
85度C,85度C宜蘭復興店,"24.7487768,121.750851",宜蘭縣宜蘭市復興路一段92號,08:00~18:00
85度C,85度C宜蘭站前店,"24.7556419,121.7577412",宜蘭縣宜蘭市康樂路2號,24小時
85度C,85度C宜蘭中山店,"24.7702052,121.7565662",宜蘭縣宜蘭市中山路五段135號,07:00~21:00
85度C,85度C高雄漢民店,"22.568127807597268, 120.36282714972322",高雄市小港區漢民路727、729號,06:30~23:00
85度C,85度C屏東中正店,"22.6860422,120.4954977",屏東縣屏東市中正路393號,06:30~23:00
85度C,85度C屏東和平店,"22.6651593,120.4784875",屏東縣屏東市建國路123號,07:00~22:30
85度C,85度C岡山大義店,"22.7869393,120.2861333",高雄市岡山區大義二路332號,07:00~23:00
85度C,85度C高雄岡山店,"22.7965121,120.2930637",高雄市岡山區壽天路37-3號,週一~週四：早上07:00~晚上22:00週五~週日：早上07:00~晚上22:30
85度C,85度C雲林崙背店,"23.760964,120.3550456",雲林縣崙背鄉正義路281-1號,07:00~22:00
85度C,85度C高雄富國店,"22.6624309,120.3066863",高雄市左營區富國路238號,07:00~23:00
85度C,85度C平鎮龍南店,"24.9220404,121.2508775",桃園市平鎮區龍南路322號,06:30~22:00
85度C,85度C平鎮延平店,"24.9417606,121.2059296",桃園市平鎮區延平路三段9號,07:00~22:00
85度C,85度C平鎮中豐店,"24.8999972,121.2111752",桃園市平鎮區中豐路山頂段181號,06:30~22:00
85度C,85度C中壢振興店,"24.9452403,121.219614",桃園市平鎮區振興路24號,06:00~22:30
85度C,85度C平鎮金陵店,"24.94937357,121.2227871",桃園市平鎮區和平路1號,07:00~22:00
85度C,85度C平鎮文化店,"24.955991,121.2028263",桃園市平鎮區文化街24巷2號,07:30~20:00
85度C,85度C平鎮南京店,"24.91631866333071, 121.20623899170354",桃園市平鎮區南京路186號 上海路口 ,06:00~22:30
85度C,85度C平鎮義民店,"24.9525817,121.2148715",桃園市平鎮區義民路148號,07:00~21:30
85度C,85度C中豐南勢店,"24.9174055,121.2111353",桃園市平鎮區中豐路南勢二段89號,06:30~22:30
85度C,85度C彰化和平店,"24.079419,120.540552",彰化縣彰化市和平路30號,06:30~23:00
85度C,85度C彰化彰基店,"24.0708036,120.5430968",彰化縣彰化市旭光路331號,06:30~24:00
85度C,85度C彰化中正店,"24.0670007,120.5351328",彰化縣彰化市中正路二段679號,07:00~23:00
85度C,85度C彰化中民店,"24.083856745541414, 120.54730176728584",彰化縣彰化市中民街93號,06:30~22:00
85度C,85度C彰化彰鹿店,"24.0628083,120.5188675",彰化縣彰化市莿桐里彰鹿路27號,07:00~22:30
85度C,85度C彰化大竹店,"24.0850997,120.5812199",彰化縣彰化市彰南路二段199號,07:00~22:00
85度C,85度C彰化金馬店,"24.0758918,120.5305365",彰化縣彰化市金馬路三段784號,07:00~23:00
85度C,85度C彰化大埔店,"24.0627935,120.5440143",彰化縣彰化市大埔路400號,07:00~24:00
85度C,85度C彰化師大店,"24.0859502,120.5587307",彰化縣彰化市中山路三段220號,07:00~22:30
85度C,85度C後龍中山店,"24.6140936,120.7906356",苗栗縣後龍鎮中山路107號,07:00~23:00
85度C,85度C屏東恆春店,"22.007978066191452, 120.74341432470918",屏東縣恆春鎮西門路107-2號,08:30~21:00
85度C,85度C文山興隆店,"24.984619232455852, 121.56148510781836",台北市文山區興隆路四段68-6號,早上07:00~晚上22:00 周日07:00-21:00 
85度C,85度C台北景美店,"24.991780182465217, 121.54121551834498",台北市文山區景文街42號1樓,06:00~00:00
85度C,85度C斗六莊敬店,"23.7041068,120.5509881",雲林縣斗六市莊敬路27號,07:00~22:00
