品牌,門市名稱,座標,地址,營業時間
路易莎,路易莎松山站前門市,"25.0505038,121.5804575",台北市 南港區 八德路四段786號,"週一至週五 8:00-18:00
周六 9:00-17:00
周日公休"
路易莎,路易莎景美門市,"24.9930484,121.5418899",台北市 文山區 景中街13號,週一至週日 07:00-15:00
路易莎,路易莎萬芳醫院門市,"24.9989956,121.5581797",台北市 文山區 興隆路三段119號,"週一、週四及週日 07:00-21:00
               週五至週六 07:00-21:30"
路易莎,路易莎木新門市,"24.9815555,121.5605102",台北市 文山區 木新路三段177號,7:00-18:00
路易莎,路易莎政大門市,"24.9878718,121.5757797",台北市 文山區 萬壽路3號1樓,"週一至週五7:30-20:00
週六、日8:00-17:00"
路易莎,路易莎三重旗艦門市,"25.045665,121.468142",新北市 三重區 重新路五段609巷2-1號,"週一至週五7:30-17:30
例假日公休"
路易莎,路易莎三重重新門市,"25.0605287,121.4929779",新北市 三重區 重新路三段94號,7:00-21:00
路易莎,路易莎台北橋門市,"25.0626752,121.49953679",新北市 三重區 重新路二段12號,"週一至週五 07:30-19:00
 週六、週日 07:30-18:00"
路易莎,路易莎三重三和門市,"25.06842999,121.4993814",新北市 三重區 三和路二段156號1樓,8:00-20:00
路易莎,路易莎三重龍門門市,"25.0717278,121.4944751",新北市 三重區 三和路三段84號1樓,"週一至週五 07:00-21:00
               週六、週日及國定假日 08:00-17:00"
路易莎,路易莎三重成功門市,"25.0512599,121.487816",新北市 三重區 成功路98號,平日07:30-16:30 假日08:00-18:00
路易莎,路易莎三重溪尾門市,"25.08037662,121.48890204",新北市 三重區 溪尾街175號,週一至週末 7:00-20:00
路易莎,路易莎金城門市,"24.9830152,121.4657144",新北市 土城區 明德路一段95號,週一至週日 07:00-21:00
路易莎,路易莎土城裕民門市,"24.9869972,121.4508006",新北市 土城區 裕民路99號,週一至週日 07:00-21:00
路易莎,路易莎土城頂埔門市 永久歇業 ,"24.9601547,121.4196625",新北市 土城區 中央路四段62之3號,"週一至週五 07:30-20:00
                週六、週日 08:30-17:00"
路易莎,路易莎中和概念門市 永久歇業 ,"24.9969528,121.487118",新北市 中和區 連城路250號1樓 I棟A戶 遠東世紀廣場 ,未知
路易莎,路易莎中和中和門市,"25.001275,121.500438",新北市 中和區 中和路55號,週一至週日 07:30-20:30
路易莎,路易莎永安市場門市,"25.0024064,121.5115716",新北市 中和區 中和路400巷19號,7:00-21:30
路易莎,路易莎南勢角門市,"24.9897838,121.5088369",新北市 中和區 捷運路63號,週一至週日 07:00-21:00
路易莎,路易莎景平大勇門市,"24.9933763,121.5174448",新北市 中和區 大仁街19巷8號,7:30-20:00
路易莎,路易莎中和建康門市,"25.000384,121.487844",新北市 中和區 建康路95號,8:00-17:30
路易莎,路易莎捷運景安門市,"24.9942319,121.5053694",新北市 中和區 景安路175-2號,週一至週日 07:30-20:30
路易莎,路易莎中和自立門市,"24.9966402,121.5226221",新北市 中和區 自立路5號,7:30-20:30
路易莎,路易莎永和竹林門市,"25.0104389,121.520061",新北市 永和區 竹林路160號,7:00-16:00
路易莎,路易莎永和中山門市,"25.007146,121.5073446",新北市 永和區 中山路一段271號,週一至週日 07:00-16:00
路易莎,路易莎汐科門市,"25.0609644,121.6456463",新北市 汐止區 新北市汐止區新台五路一段75號B1 編號03-04店面,"週一至週五 07:30-18:00
               週末 公休"
路易莎,路易莎汐止門市,"25.0632484,121.6553587",新北市 汐止區 新台五路一段183號,週一至週日 07:00-20:00
路易莎,路易莎汐止建成直營門市,"25.0732711,121.663395",新北市 汐止區 建成路60號,週一至週日 07:30-21:00
路易莎,路易莎汐止中興門市,"25.0666362,121.6308427",新北市 汐止區 中興路226號,"週一至週五 07:30-16:30
週六日、國定假日 08:00-17:00"
路易莎,路易莎板橋文化門市,"25.0203978,121.4651436",新北市 板橋區 文化路一段309之37號1樓,7:00-22:00
路易莎,路易莎新板市府門市,"25.0108202,121.4638916",新北市 板橋區 新民街43號1樓,週一至週日 07:00-21:00
路易莎,路易莎江子翠門市,"25.0310038,121.4730023",新北市 板橋區 文化路二段367號,"週日至週四 07:30-21:00
               週五、週六 07:30-22:00"
路易莎,路易莎亞東醫院門市,"24.9968086,121.4518294",新北市 板橋區 南雅南路二段130號,"7:00-18:00
週六7:00-17:00
周日公休"
路易莎,路易莎板橋重慶門市,"25.0019658,121.4628866",新北市 板橋區 重慶路195號,週一至週日 07:30-19:30
路易莎,路易莎新海直營門市,"25.0242002,121.4607267",新北市 板橋區 雨農路58號,週一至週日 07:00-21:00
路易莎,路易莎淡水竹圍門市,"25.1373543,121.4598137",新北市 淡水區 民權路38號,週一至週日 07:00-22:00
路易莎,路易莎新店建國門市,"24.973311,121.539621",新北市 新店區 中正路244號之2,"周二至周五7:30-17:00
週六至週日9:00-19:00"
路易莎,路易莎北新門市,"24.96833453,121.54152959",新北市 新店區 北新路一段321號,7:30-20:00
路易莎,路易莎大坪林門市,"24.9803409,121.541766",新北市 新店區 北新路三段43號,7:30-17:30
路易莎,路易莎新莊立信門市,"25.0512461,121.4441855",新北市 新莊區 立信三街12巷18號,"週一至週五 07:00-17:00
               週六日、國定假日 08:00 -18:00"
路易莎,路易莎樹林中山門市,"24.9902999,121.4228168",新北市 樹林區 中山路一段115號,週一至週日 07:00-20:00
路易莎,路易莎蘆洲長榮門市,"25.0879168,121.4596005",新北市 蘆洲區 長榮路412號,週一至週日 07:00-21:00
路易莎,路易莎三峽學成門市,"24.9452527,121.3771117",新北市 三峽區 學成路325號,7:00-20:00
路易莎,路易莎瑞金門市,"25.1082178,121.8056025",新北市 瑞芳區 明燈路三段65號,週一至週日 7:30-20:00
路易莎,路易莎金山老街門市,"25.221402,121.6381266",新北市 金山區 中山路184號,週一至週日 06:30-17:00
路易莎,路易莎桃園藝文門市,"25.0165185,121.2963076",桃園市 桃園區 中埔六街32號 中正路1115巷內 ,"週一至週五 07:30-20:00
               週六、週日及例假日 08:00-18:00"
路易莎,路易莎桃鶯門市,"24.9830623,121.3187312",桃園市 桃園區 桃鶯路168-1號1樓,7:00-19:30
路易莎,路易莎桃園縣府門市,"24.9921548,121.3028951",桃園市 桃園區 中山路426號,"周一至週五7:00-18:00
周六7:00-17:00
周日7:00-15:00"
路易莎,路易莎桃園國聖門市,"24.9881506,121.2879997",桃園市 桃園區 國聖一街2號,7:00-21:00
路易莎,路易莎林口文興門市,"25.0580295,121.3647013",桃園市 龜山區 文興路108號,"7:00-19:00
週六至週日7:00-17:00"
路易莎,路易莎中壢延平門市,"24.9559569,121.2228732",桃園市 中壢區 延平路536號,"週一至週五 07:30-17:30
               週六 08:30-18:30
               週日 08:30-17:30"
路易莎,路易莎中壢SOGO門市,"24.9622368,121.225239",桃園市 中壢區 元化路303號,週一至週日 07:30-21:00
路易莎,路易莎桃園大湳門市,"24.9603689,121.299273",桃園市 八德區 廣福路20巷54號,7:00-17:00
路易莎,路易莎新竹遠百門市,"24.8020193,120.965707",新竹市 西區 西大路360號1-3樓,週一至週日 07:00-21:00
路易莎,路易莎竹北光明門市,"24.830525,121.0159144",新竹縣 竹北市 光明一路196號,週一至週日 07:00-18:00
路易莎,路易莎竹北莊敬門市,"24.8219942,121.0265854",新竹縣 竹北市 莊敬五街38號,週一至週日 07:00-21:00
路易莎,路易莎竹北縣政門市,"24.8282208,121.0102504",新竹縣 竹北市 縣政九路153號,週一至週日 06:40-20:30
路易莎,路易莎竹北東元門市,"24.8234676,121.0141124",新竹縣 竹北市 縣政二路55號,"週一至週日 07:00-18:00
               店休日另行公告"
路易莎,路易莎竹東長春門市,"24.7441396,121.0832422",新竹縣 竹東鎮 長春路三段196號,週一至週日 07:00-21:00
路易莎,路易莎頭份和平門市,"24.6856029,120.9059524",苗栗縣 頭份市 和平路107號,週一至週日 07:00-18:00
路易莎,路易莎中港門市  澄清醫院旁 ,"24.1836289,120.6169629",台中市 西屯區 福康路26號,"週一至週五 06:30-16:00
周六及國定假日6:30-13:00
週日 公休"
路易莎,路易莎福星公園門市,"24.1719992,120.6482625",台中市 西屯區 河南路2段301巷72號,週一至週日 07:15-21:00
路易莎,路易莎台中大墩門市,"24.1546224,120.6499576",台中市 南屯區 大墩路806號,"6:30-18:30
假日7:30-18:30"
路易莎,路易莎大甲鎮瀾門市,"24.3458415,120.6225207",台中市 大甲區 育德路21號,6:30-20:00
路易莎,路易莎彰化中興門市,"24.0699929,120.545045",彰化縣 彰化市 中興路136之1號,週一至週日 07:00-17:00
路易莎,路易莎鹿港中山門市,"24.0557296,120.4342709",彰化縣 鹿港鎮 中山路246號,週一至週日 7:30-18:30
路易莎,路易莎嘉義博愛門市,"23.4652336,120.4247332",嘉義市 西區 博愛路二段864號1樓,"周一、周三至周日 6:00-21:00
周二 6:00-18:00"
路易莎,路易莎民雄頭橋門市,"23.5249121,120.4402011",嘉義縣 民雄鄉 福樂村埤角221號,週一至週日 7:00-21:00
路易莎,路易莎台南湖美門市,"23.0030236,120.1872306",台南市 中西區 中華西路二段588號1樓,7:00-18:00
路易莎,路易莎台南新光門市,"22.98723001,120.2002708",台南市 中西區 永福路一段78號,週一至週日 07:00-18:00
路易莎,路易莎台南永康門市,"23.0083096,120.2319187",台南市 永康區 中華二路365號,週一至週日 07:00-19:00
路易莎,路易莎台南中華門市,"23.017795,120.227837",台南市 永康區 中華路786號,週一至週日7:30-19:00
路易莎,路易莎高雄文化直營門市,"22.6240391,120.3170544",高雄市 苓雅區 廣州一街141號,週一至週日 07:00-21:30
路易莎,路易莎高雄裕誠門市,"22.66549599,120.3073684",高雄市 左營區 裕誠路366號,7:30-21:30
路易莎,路易莎高雄河堤門市,"22.6613371,120.3140676",高雄市 三民區 明仁路51號,週一至週日 07:00-21:00
路易莎,路易莎宜蘭大學門市,"24.7469972,121.7492729",宜蘭縣 宜蘭市 神農路ㄧ段3號,週一至週日7:00-16:00
路易莎,路易莎宜蘭東門夜市門市,"24.75075997,121.75512495",宜蘭縣 宜蘭市 和睦路26號,週一至週日 07:00-18:30
路易莎,路易莎宜蘭聖博門市,"24.6710932,121.7706235",宜蘭縣 羅東鎮 中正南路135號,週一至週五 07:00-16:00；週六 07:00-15:00；週日 公休
路易莎,路易莎花蓮民國門市,"23.9777067,121.6037428",花蓮縣 花蓮市 民國路79-3號,週一至週日 07:00-21:30
路易莎,路易莎新莊中原門市,"25.0542522,121.4612663",新北市 新莊區 中原東路127號,週一至週日 7:00-18:00
路易莎,路易莎劍潭承德門市,"25.0813337,121.5230166",台北市 士林區 承德路四段53號,週一至週日 7:00-21:00
路易莎,路易莎信義松仁門市,"25.0246847,121.5693458",台北市 信義區 松仁路242號,週一至週日 07:00-17:00
路易莎,路易莎高雄小港門市,"22.566755,120.360135",高雄市 小港區 漢民路616號,週一至週日 7:00-21:00
路易莎,路易莎新莊思源門市,"25.0494852,121.4555091",新北市 新莊區 幸福路536號,7:30-18:00
路易莎,路易莎芝山直營門市,"25.10228,121.524103",台北市 士林區 福國路38號,"週一至週五 07:00-20:00
               週六、週日 07:30-20:00"
路易莎,路易莎林口影視門市,"25.0801856,121.3792111",新北市 林口區 信義路162號1樓,週一至週日 07:00-18:00
路易莎,路易莎深坑門市,"25.0038335,121.6013612",新北市 深坑區 北深路三段204號,週一至週日 07:00-20:00
路易莎,路易莎新店佳瑪門市,"24.983287,121.5376693",新北市 新店區 建國路268號,7:00-22:30
路易莎,路易莎大武崙門市,"25.1399681,121.7105292",基隆市 安樂區 武嶺街136號,週一至週末 7:00-18:30
路易莎,路易莎中和捷運門市,"25.0027369,121.496526",新北市 中和區 景平路673號,週一至週日 07:00-21:00
路易莎,路易莎內湖瑞光直營門市,"25.0788262,121.5704956",台北市 內湖區 瑞光路431號,"週一至週五 07:30-18:00
               週六、週日與國定假日 公休"
路易莎,路易莎新莊昌平門市,"25.0534532,121.4547784",新北市 新莊區 昌平街46號,週一至週日 7:00-20:30
路易莎,路易莎三重自強門市,"25.0669396,121.4933957",新北市 三重區 自強路一段236號,週一至週日 07:00-23:00
路易莎,路易莎北捷x路易莎 聯名 大安森林門市,"25.0332953,121.5346495",台北市 大安區 信義路三段100號B1 捷運2號出口右方樓梯下 ,"週一至週日 07:00-21:00
               營業時間變動提前店內公告"
路易莎,路易莎蘆竹南福門市,"25.040097,121.2930814",桃園市 蘆竹區 南福街101號,週一至週日 7:00-21:00
路易莎,路易莎中山承德直營門市,"25.0531866,121.518946",台北市 大同區 南京西路65號,週一至週日 07:00-21:00
路易莎,路易莎中壢環中門市,"24.9625793,121.2553362",桃園市 中壢區 環中東路234號,週一至週日 7:00-20:00
路易莎,路易莎澎湖馬公門市,"23.5656219,119.56481",澎湖縣 馬公市 仁愛路77號,週一至週日 8:00-22:00
路易莎,路易莎南京建國直營門市,"25.0516639,121.5358177",台北市 中山區 南京東路二段206號,"週一至週五 07:00-19:00
               週六、週日07:00-16:00"
路易莎,路易莎北投社直營門市,"25.1330077,121.5001395",台北市 北投區 光明路65號1樓,週一至週日 07:00-21:00
路易莎,路易莎台南新市門市,"23.0708303,120.2923395",台南市 新市區 新和里中正路26號,週一至週日 7:00-17:00
路易莎,路易莎信陽直營門市,"25.044761,121.5166914",台北市 中正區 信陽街5號之2,"週一至週五 07:00-20:00
週六至週日 07:30-20:00"
路易莎,路易莎瑞安直營門市,"25.0285752,121.5394736",台北市 大安區 建國南路二段151巷40號,週一至週日 07:00-21:00
路易莎,路易莎新竹關新直營門市,"24.7867084,121.0194175",新竹市 東區 關新路158號1樓,週一至週日 07:30-21:30
路易莎,路易莎中和復興門市,"24.9901845,121.5005487",新北市 中和區 復興路331號,週一至週日 07:30-20:20
路易莎,路易莎雙和圓通門市,"24.991887,121.49485101",新北市 中和區 圓通路295-2號,週一至週日 07:00-17:00
路易莎,路易莎台南文平門市,"22.9922529,120.1787488",台南市 安平區 文平路400號,週一至週日 07:00-21:00
路易莎,路易莎天母東直營門市,"25.1167556,121.5318337",台北市 士林區 天母東路8巷31弄2號,"週一至週五 07:00-19:00
週末 07:30-17:00"
路易莎,路易莎龍潭北龍門市,"24.8676855,121.2175106",桃園市 龍潭區北龍路266號,週一至週日 07:00-21:00
路易莎,路易莎松江長安門市,"25.0483378,121.5339034",台北市 中山區 長安東路二段78-1號,"週一至週五 7:00-19:00
假日9:00-18:00"
路易莎,路易莎木柵直營門市,"24.9886876,121.5665695",台北市 文山區 木柵路三段63號,週一至週日 07:00-21:00
路易莎,路易莎八德台安門市,"25.0483134,121.5466514",台北市 松山區 八德路二段429號,週一至週日 07:00-21:00
路易莎,路易莎崇善門市,"22.9803936,120.2232732",台南市 東區 崇善路172號,週一至週日 6:30-20:00
路易莎,路易莎春日直營門市,"25.008678,121.3116161",桃園市 桃園區 春日路618號," 1F  週一至週日 08:00-21:30
                2F  週一至週日 10:00-21:00"
路易莎,路易莎小北門市,"23.0092315,120.2062015",台南市 北區 立賢路一段39號,週一至週日 07:00-18:00
路易莎,路易莎永和仁愛門市,"25.01320434,121.51185686",新北市 永和區 仁愛路110號,週一至週日 7:00-20:00
路易莎,路易莎竹北成功門市,"24.8186261,121.0236101",新竹縣 竹北市 成功五街76號,週一至週日 07:00-21:00
路易莎,路易莎新莊中正門市,"25.026431,121.418095",新北市 新莊區 中正路879-1號1樓,週一至週日 7:00-17:00
路易莎,路易莎汐止福德門市,"25.0677576,121.637338",新北市 汐止區 福德一路118號,週一至週日 07:00-16:30
路易莎,路易莎內湖家樂福門市,"25.0601551,121.5749954",台北市 內湖區 民善街88號,"週一到週五 08:00-21:00
               週六、週日 09:30-21:30"
路易莎,路易莎民生富錦直營門市,"25.0578551,121.5633197",台北市 松山區 三民路113巷1-3號,週一至週日 07:00-21:00
路易莎,路易莎美術館門市,"22.6516331,120.2883504",高雄市 鼓山區 青海路112號,週一至週日 7:00-22:00
路易莎,路易莎桂林門市,"25.0376261,121.5052878",台北市 萬華區 桂林路26號,週一至週日 07:30-21:00
路易莎,路易莎進化門市,"24.1595007,120.6942362",台中市 北區 進化路571-2號,週一至週日 07:00-19:00
路易莎,路易莎東安門市,"22.9932979,120.2267221",台南市 東區 東安路100號,週一至週日 07:00-21:00
路易莎,路易莎新豐鑫豐門市,"24.8741695,120.9944157",新竹縣 新豐鄉 建興路一段155號,週一至週日 07:00-19:00
路易莎,路易莎樹林興仁花園門市,"25.0032137,121.4153858",新北市 樹林區 保安街二段70號,週一至週日 7:00-20:00
路易莎,路易莎新竹武陵門市,"24.8211323,120.9683633",新竹市 北區 武陵路173-3號,週一至週日 07:00-18:00
路易莎,路易莎桃園南崁門市,"25.0496471,121.2930007",桃園市 蘆竹區 南崁路290號,週一至週日 07:30-20:00
路易莎,路易莎圓山直營門市,"25.0707289,121.5190034",台北市 大同區 酒泉街35號,"週一至週五 07:00-21:00
               週六、週日 07:30-21:00"
路易莎,路易莎昌盛門市,"22.6640696,120.2991137",高雄市 鼓山區 昌盛路292號,週一至週日 7:30-21:00
路易莎,路易莎六家文興門市,"24.8074498,121.0348384",新竹縣 竹北市 文興路二段96號,週一至週日 07:00-21:00
路易莎,路易莎景美SOHO門市,"24.9954594,121.5410196",台北市 文山區 羅斯福路六段146號,"週一至週五 07:00-21:00
               週六、週日 07:30-21:00"
路易莎,路易莎台南長榮門市,"22.990102,120.2207139",台南市 東區 長榮路二段178號,週一至週日 07:00-21:00
路易莎,路易莎中和南華門市,"24.9973195,121.5044863",新北市 中和區 南華路65號,週一至週日 07:30-20:30
路易莎,路易莎高雄孟子門市,"22.6738945,120.3124943",高雄市 左營區 孟子路178-1號,週一至週日 07:00-21:00
路易莎,路易莎台中文心一門市,"24.149417,120.6469254",台中市 南屯區 文心路一段376號,週一至週日 07:30-19:30
路易莎,路易莎青埔明日門市,"25.0010479,121.2043302",桃園市 中壢區 領航南路一段73號,週一至週日 7:00-16:30
路易莎,路易莎德行西門市,"25.1052531,121.5231599",台北市 士林區 德行西路36號1樓,"週一至週五 07:00-21:00
               週六、週日 07:30-21:00"
路易莎,路易莎台大西址門市,"25.0413975,121.5176339",台北市 中正區 常德街1號,"週一至週五 07:00-18:00
               週六 08:00-14:00
               週日依店內公告"
路易莎,路易莎桃園桃大極門市,"24.9552418,121.296823",桃園市 八德區 金和路60號,週一至週日 07:00-21:00
路易莎,路易莎龜山中興門市,"24.9941498,121.3379345",桃園市 龜山區 中興路一段37號,週一至週日 07:00-20:00
路易莎,路易莎桃園莊敬門市,"25.0225225,121.2935146",桃園市 桃園區 莊敬路二段47號,週一至週日 7:00-18:30
路易莎,路易莎中壢南園門市,"24.9715086,121.2337401",桃園市 中壢區 南園二路81號,週一至週日 7:00-19:00
路易莎,路易莎台中精密園區門市,"24.1488419,120.6081885",台中市 南屯區 精科路112號,週一至週日 07:00-19:00
路易莎,路易莎竹北博愛門市,"24.833378,121.0063774",新竹縣 竹北市 博愛街239號,週一至週日 07:00-21:00
路易莎,路易莎內壢忠孝門市,"24.974514,121.255563",桃園市 中壢區 忠孝路83號,週一至週日 07:00-20:30
路易莎,路易莎三峽國際門市,"24.9431826,121.3747296",新北市 三峽區 國際一街1號1樓,週一至週日 07:00-17:00
路易莎,路易莎新光保險小舖門市,"25.046265782702758, 121.51587105332781",台北市 中正區 忠孝西路一段50號1樓,"週一至週五 07:00-19:00
週六至週日 07:30-18:00"
路易莎,路易莎新店央北門市,"24.9777598,121.5270394",新北市 新店區 央北一路102號,週一至週日 7:00-20:00
路易莎,路易莎林口忠孝門市,"25.0731835,121.3644381",新北市 林口區 忠孝一路12號,"週一至週五 7:00-19:00
週六、週日 07:30-19:30"
路易莎,路易莎台東中華門市,"22.75340601,121.15237451",台東縣 台東市 中華路一段421號1-3樓,週一至週日 7:00-21:30
路易莎,路易莎台南善化門市,"23.127156197023787, 120.2939089143425",台南市 善化區 文昌里中正路365號,7:00-17:30
路易莎,路易莎第三波咖啡 棧貳庫門市,"22.6186461,120.2777946",高雄市 鼓山區 蓬萊路17號櫃號2108,"週日至週四 10:00-21:00
               週五、週六 10:00-22:00"
路易莎,路易莎屏東門市,"22.67418876181807, 120.49065963634317",屏東縣 屏東市 中華路80號1樓,週一至週日 07:00-22:00
路易莎,路易莎新店安康門市,"24.9626839,121.5130919",新北市 新店區 安康路二段95號,"週一至週五 07:00-20:00
               週六、週日 07:00-19:00"
路易莎,路易莎板橋國光門市,"25.0186544,121.4614429",新北市 板橋區 國光路189-5號,週一至週日 07:00-22:00
路易莎,路易莎內湖CITY LINK門市,"25.0846317,121.5938439",台北市 內湖區 成功路四段188號,"週日至週四 07:30-21:30
               週五、週六 07:30-22:00
                提供外送服務 "
路易莎,路易莎台南郡平門市,"22.988842,120.1697132",台南市 安平區 郡平路131號,週一至週日 07:00-20:00
路易莎,路易莎興大門市,"24.12358275562095, 120.67691505058187",台中市 南區 興大路145號1樓 中興大學學生餐廳 ,週一至週日 07:00-19:00
路易莎,路易莎永和安樂門市,"25.0040502,121.5146987",新北市 永和區 安樂路270號,週一至週日 07:00-20:00
路易莎,路易莎基隆仁二門市,"25.12784,121.749331",基隆市 仁愛區 仁二路66號,週一至週日 07:30-20:30
路易莎,路易莎中和宜安直營門市,"24.9993238,121.508608",新北市 中和區 宜安路180號,週一至週日 07:00-21:00
路易莎,路易莎精誠門市,"24.15643581,120.65682291",台中市 西區 精誠路7-2號,週一至週日 7:30-18:00
路易莎,路易莎淡水水源門市,"25.1723519,121.4455682",新北市 淡水區 水源街1段91號1樓,週一至週日 07:00-22:00
路易莎,路易莎新竹建中門市,"24.8023542,120.9953539",新竹市 東區 建中路71號,週一至週日 07:00-21:00
路易莎,路易莎桃園中正門市,"24.9926279,121.3119931",桃園市 桃園區 中正路103號,週一至週日 07:00-21:00
路易莎,路易莎南昌直營門市,"25.0299438,121.5183082",台北市 中正區 南昌路一段123號1樓,週一至週日 07:00-17:00
路易莎,路易莎高醫門市,"22.6437795,120.3088302",高雄市 三民區 自由一路56號,週一至週日 07:00-21:00
路易莎,路易莎新竹關埔門市,"24.7904145,121.0148537",新竹市 東區 埔頂二路2號,週一至週日 07:00-21:00
路易莎,路易莎基隆新豐門市,"25.1368243,121.7883431",基隆市 中正區 新豐街233號,週一至週日 07:00-18:30
路易莎,路易莎松江農安門市,"25.0638392,121.5335074",台北市 中山區 松江路363號1樓,週一至週日 07:00-20:30
路易莎,路易莎淡水新市直營門市,"25.1828246,121.4461166",新北市 淡水區 新市一路三段100號,週一至週日 07:00-22:00
路易莎,路易莎台南東門門市,"22.977976,120.2334442",台南市 東區 東門路三段180、182號,"週一至週五 07:00-19:00
               週六、週日 08:00-20:00"
路易莎,路易莎新板特區門市,"25.0116937,121.4685575",新北市 板橋區 區運路105號,週一至週日 07:00-21:00
路易莎,路易莎桃園八德興豐門市,"24.9295278,121.2892313",桃園市 八德區 興豐路416號,週一至週日 07:00-21:00
路易莎,路易莎永春門市,"25.0406569,121.576525",台北市 信義區 忠孝東路五段458號1樓,週一至週日 07:00-21:00
路易莎,路易莎大墩向心門市,"24.1440621,120.6497127",台中市 南屯區 大墩路301號,週一至週日 07:00-21:00
路易莎,路易莎十甲東門市,"24.1407604,120.7082962",台中市 東區 十甲東路566號,週一至週日 07:00-21:00
路易莎,路易莎南港展覽館直營門市,"25.0568065,121.6173125",台北市 南港區 經貿二路1號1樓 商店街106-2,"週一至週五 7:30-16:30
               週六、週日公休 依展覽活動調整 "
路易莎,路易莎基河新光門市,"25.091683127134566, 121.52101377061585",台北市 士林區 基河路250號,週一至週日 07:30-21:00
路易莎,路易莎師大直營門市,"25.0270872,121.525325",台北市 大安區 和平東路一段79號,"週一至週五 07:00-22:30
               週六、週日 07:30-22:30"
路易莎,路易莎桃園大竹門市,"25.021663136795276, 121.26311190688807",桃園市 蘆竹區 大竹路440號1樓,週一至週日 07:00-21:00
路易莎,路易莎員林莒光門市,"23.9598335,120.5669366",彰化縣 員林市 莒光路328號,週一至週日 07:00-21:30
路易莎,路易莎大昌覺民門市,"22.6410055,120.3320324",高雄市 三民區 大昌二路89號,週一至週日 07:00-23:00
路易莎,路易莎成大勝利門市,"22.9948601,120.2179307",台南市 東區 勝利路125號,週一至週日 07:00-19:00
路易莎,路易莎台南文元門市,"23.0157778,120.2006019",台南市 北區 海安路三段800號,週一至週日 07:00-20:00
路易莎,路易莎漢口門市,"24.164895210308533, 120.66142177386737",台中市 西屯區 漢口路二段110-7號,週一至週日 06:30-19:00
路易莎,路易莎大里永隆門市,"24.104856,120.6773841",台中市 大里區 永隆路35號,週一至週日 07:00-21:00
路易莎,路易莎汐止大同門市,"25.0656979,121.6558914",新北市 汐止區 大同路二段312巷18號,週一至週日 07:30-21:00
路易莎,路易莎板橋合宜門市,"24.9984689,121.4470771",新北市 板橋區 合宜路175號1樓,週一至週日 07:00-17:00
路易莎,路易莎台南北安門市,"23.0321599,120.2045469",台南市 安南區 北安路二段262號,"週一至週五 07:00-20:00
週六、週日 07:00-20:30
親子室開放時間 尚未開放 "
路易莎,路易莎宜蘭礁溪門市,"24.8259359,121.7714988",宜蘭縣 礁溪鄉 礁溪路五段48號,"週一至週四 07:30-20:00
               週五至週日 07:30-21:30"
路易莎,路易莎桃園埔心門市,"24.9189658,121.1837598",桃園市 楊梅區 永美路235號,週一至週日 07:00-21:00
路易莎,路易莎正興建功門市,"22.64722556290143, 120.31961432690686",高雄市 三民區 正興路173、175號,週一至週日 07:00-21:30
路易莎,路易莎台南大同門市,"22.982674183890254, 120.21118176592023",台南市 中西區 大同路一段214號1樓,週一至週日 07:00-21:00
路易莎,路易莎天母忠誠門市,"25.118262,121.5343986",台北市 士林區 天母東路67之1號,"週一至週五07:00-19:00
週末7:30-19:00"
路易莎,路易莎桃園台茂門市,"25.053661261386893, 121.28854906018677",桃園市 蘆竹區 南崁路一段112號6樓,"週一至週四 11:00-22:00
               週五 11:00-22:30
               週六 10:30-22:30
               週日 10:30-22:00"
路易莎,路易莎泰山十八甲門市,"25.0556756,121.4337733",新北市 泰山區 仁愛路122號,週一至週日 07:00-18:00
路易莎,路易莎板橋環球門市,"25.01424051361857, 121.46365194059642",新北市 板橋區 縣民大道二段7號B1,週一至週日 06:30-22:00
路易莎,路易莎高醫大校區門市,"22.64647342519036, 120.3106986233613",高雄市 三民區 十全一路100號 國研大樓1F ,"週一至週五 07:00-20:30
               週六、週日 08:00-16:00"
路易莎,路易莎新北市立圖書館門市,"25.0013933,121.4550959",新北市 板橋區 貴興路139號,"週一 08:30-17:00
               週二至週日 08:30-20:30"
路易莎,路易莎桃園大觀門市,"25.0459254,121.1407808",桃園市 觀音區 大觀路二段178-2號,週一至週日 07:00-20:30
路易莎,路易莎文心森林公園門市,"24.146274441541784, 120.64349189028373",台中市 南屯區 惠文路525號、527號,週一至週日 07:30-17:00
路易莎,路易莎路易莎松山生活運動門市,"25.0496652,121.5788076",台北市 松山區 市民大道六段131號,週一至週日 07:00-21:00
路易莎,路易莎台中大雅門市,"24.2285413,120.64735",台中市 大雅區 學府路459號,週一至週五 6:30-16:00 周末 7:00-16:00
路易莎,路易莎忠孝SOGO門市,"25.042765,121.544204",台北市 大安區 復興南路一段133之1號,週一至週日 07:00-22:00
路易莎,路易莎高雄澄清門市,"22.6418694,120.3454791",高雄市 三民區 澄清路519號,週一至週日 07:00-23:00
路易莎,路易莎八德廣豐門市,"24.96485511693059, 121.29651859773645",桃園市 八德區 大智路102號1樓,週一至週日 07:00-21:00
路易莎,路易莎高雄重愛門市,"22.68486,120.3165679",高雄市 左營區 自由四路320號,週一至週日 07:00-22:00
路易莎,路易莎台南復國門市,"23.0113201,120.246068",台南市 永康區 復國一路339-1號,週一至週日 07:00-19:00
路易莎,路易莎桃園大興門市,"25.0140032,121.3044739",桃園市 桃園區 大興西路一段179-1號,"週一至週四 07:00-21:00
               週五、例假日 07:00-21:30"
