门市名称,星期一,星期二,星期三,星期四,星期五,星期六,星期日
土城大潤發門市,星期一、10:00 到 21:30;,星期二、10:00 到 21:30. ,星期三、10:00 到 21:30;,星期四、10:00 到 21:30;,星期五、10:00 到 21:30;,星期六、09:30 到 21:30;,星期日、09:30 到 21:30;
青埔門市(高鐵站),星期一、06:00 到 22:30;,星期二、06:00 到 22:30. ,星期三、06:00 到 22:30;,星期四、06:00 到 22:30;,星期五、06:00 到 22:30;,星期六、06:00 到 22:30;,星期日、06:00 到 22:30;
龍潭中科院門市,星期一、07:00 到 18:00;,星期二、07:00 到 18:00;,星期三、07:00 到 18:00;,星期四、07:00 到 18:00;,星期五、07:00 到 18:00;,星期六、休息;,星期日、休息;
瑞洲門市,星期一、07:00 到 18:00;,星期二、07:00 到 18:00. ,星期三、07:00 到 18:00;,星期四、07:00 到 18:00;,星期五、07:00 到 18:00;,星期六、休息;,星期日、休息;
北投大業門市,星期一、07:30 到 21:30;,星期二、07:30 到 21:30. ,星期三、07:30 到 21:30;,星期四、07:30 到 21:30;,星期五、07:30 到 21:30;,星期六、07:30 到 21:30;,星期日、07:30 到 21:30;
環山門市,星期一、07:00 到 21:00;,星期二、07:00 到 21:00. ,星期三、07:00 到 21:00;,星期四、07:00 到 21:00;,星期五、07:00 到 21:00;,星期六、07:00 到 21:00;,星期日、07:00 到 21:00;
內湖陽光門市,星期一、07:00 到 18:00;,星期二、07:00 到 18:00. ,星期三、07:00 到 18:00;,星期四、07:00 到 18:00;,星期五、07:00 到 18:00;,星期六、休息;,星期日、休息;
忠誠門市,星期一、06:30 到 21:30;,星期二、06:30 到 21:30. ,星期三、06:30 到 21:30;,星期四、06:30 到 21:30;,星期五、06:30 到 21:30;,星期六、07:00 到 21:30;,星期日、07:00 到 21:30;
振興門市,星期一、06:30 到 21:00;,星期二、06:30 到 21:00. ,星期三、06:30 到 21:00;,星期四、06:30 到 21:00;,星期五、06:30 到 21:00;,星期六、06:30 到 21:00;,星期日、06:30 到 21:00;
台北榮總門市,星期一、06:30 到 21:00;,星期二、06:30 到 21:00. ,星期三、06:30 到 21:00;,星期四、06:30 到 21:00;,星期五、06:30 到 21:00;,星期六、06:30 到 21:00;,星期日、06:30 到 21:00;
大葉高島屋門市,星期一、08:00 到 21:30;,星期二、08:00 到 21:30. ,星期三、08:00 到 21:30;,星期四、08:00 到 21:30;,星期五、08:00 到 22:00;,星期六、08:00 到 22:00;,星期日、08:00 到 21:30;
天母中山門市,星期一、07:00 到 20:00;,星期二、07:00 到 20:00. ,星期三、07:00 到 20:00;,星期四、07:00 到 20:00;,星期五、07:00 到 20:00;,星期六、07:00 到 20:00;,星期日、07:00 到 20:00;
港墘門市,星期一、07:00 到 19:00;,星期二、07:00 到 19:00. ,星期三、07:00 到 19:00;,星期四、07:00 到 19:00;,星期五、07:00 到 19:00;,星期六、08:30 到 16:30;,星期日、08:30 到 16:30;
青埔華泰門市,星期一、11:00 到 21:00;,星期二、11:00 到 21:00. ,星期三、11:00 到 21:00;,星期四、11:00 到 21:00;,星期五、11:00 到 21:00;,星期六、11:00 到 22:00;,星期日、11:00 到 22:00;
洲子門市,星期一、07:00 到 20:00;,星期二、07:00 到 20:00. ,星期三、07:00 到 20:00;,星期四、07:00 到 20:00;,星期五、07:00 到 20:00;,星期六、07:00 到 18:00;,星期日、07:00 到 18:00;
青埔影城門市,星期一、11:00 到 21:00;,星期二、11:00 到 21:00. ,星期三、11:00 到 21:00;,星期四、11:00 到 21:00;,星期五、11:00 到 21:00;,星期六、11:00 到 22:00;,星期日、11:00 到 22:00;
平鎮家樂福門市,星期一、08:00 到 21:00;,星期二、08:00 到 21:00. ,星期三、08:00 到 21:00;,星期四、08:00 到 21:00;,星期五、08:00 到 21:00;,星期六、08:00 到 21:00;,星期日、08:00 到 21:00;
平鎮民族門市,星期一、07:00 到 21:30;,星期二、07:00 到 21:30. ,星期三、07:00 到 21:30;,星期四、07:00 到 21:30;,星期五、07:00 到 21:30;,星期六、07:00 到 21:30;,星期日、07:00 到 21:30;
青埔高鐵南門市(非高鐵站),星期一、07:00 到 21:30;,星期二、07:00 到 21:30. ,星期三、07:00 到 21:30;,星期四、07:00 到 21:30;,星期五、07:00 到 21:30;,星期六、07:00 到 21:30;,星期日、07:00 到 21:30;
天玉門市,星期一、06:30 到 21:30;,星期二、06:30 到 21:30. ,星期三、06:30 到 21:30;,星期四、06:30 到 21:30;,星期五、06:30 到 21:30;,星期六、06:30 到 21:30;,星期日、06:30 到 21:30;
天母三越門市,星期一、07:30 到 21:30;,星期二、07:30 到 21:30. ,星期三、07:30 到 21:30;,星期四、07:30 到 21:30;,星期五、07:30 到 22:00;,星期六、07:30 到 22:00;,星期日、07:30 到 21:30;
光明門市,星期一、07:00 到 21:30;,星期二、07:00 到 21:30. ,星期三、07:00 到 21:30;,星期四、07:00 到 21:30;,星期五、07:00 到 21:30;,星期六、07:00 到 21:30;,星期日、07:00 到 21:30;
內湖文德門市,星期一、06:30 到 21:00;,星期二、06:30 到 21:00. ,星期三、06:30 到 21:00;,星期四、06:30 到 21:00;,星期五、06:30 到 21:00;,星期六、06:30 到 21:00;,星期日、06:30 到 21:00;
內湖民權門市,星期一、07:00 到 21:30;,星期二、07:00 到 21:30. ,星期三、07:00 到 21:30;,星期四、07:00 到 21:30;,星期五、07:00 到 21:30;,星期六、07:00 到 21:30;,星期日、07:00 到 21:30;
龍潭門市,星期一、06:30 到 21:30;,星期二、06:30 到 21:30. ,星期三、06:30 到 21:30;,星期四、06:30 到 21:30;,星期五、06:30 到 21:30;,星期六、07:00 到 21:30;,星期日、07:00 到 21:30;
南港重陽門市,星期一、07:30 到 18:00;,星期二、07:30 到 18:00. ,星期三、07:30 到 18:00;,星期四、07:30 到 18:00;,星期五、07:30 到 18:00;,星期六、07:30 到 18:00;,星期日、07:30 到 18:00;
南港高鐵門市,星期一、06:30 到 22:00;,星期二、06:30 到 22:00. ,星期三、06:30 到 22:00;,星期四、06:30 到 22:00;,星期五、06:30 到 22:00;,星期六、06:30 到 22:00;,星期日、06:30 到 22:00;
航棧綠洲門市,星期一、08:00 到 18:00;,星期二、08:00 到 18:00. ,星期三、08:00 到 18:00;,星期四、08:00 到 18:00;,星期五、08:00 到 18:00;,星期六、08:00 到 19:00;,星期日、08:00 到 19:00;
