name,search_word,lati,longi,u_time,time_mor,time_nig,six,seven,eight,nine,ten,eleven,twelve,thirteen,fourteen,fifteen,sixteen,seventeen,eighteen,nineteen,twenty,twenty_one,twenty_two,twenty_three
寧波店,50嵐 寧波店,25.0309349,121.517759,10:00–22:00,10,22,0,0,0,0,60,90,100,81,51,39,37,37,43,42,34,32,0,0
寧夏店,50嵐 寧夏店,25.0573193,121.5155735,10:00–21:00,10,21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
劍潭店,50嵐 劍潭店,25.0808735,121.5228134,10:00–22:00,10,22,0,0,0,0,16,33,75,91,100,50,29,29,54,66,58,37,0,0
德安店,50嵐 德安店,25.0800432,121.5922544,10:00–22:30,10,22,0,0,0,0,25,25,25,33,58,50,25,16,25,41,16,8,0,0
德行店,50嵐 德行店,25.105171,121.522829,11:00–22:30,11,22,0,0,0,0,0,32,32,17,5,0,11,35,67,61,41,17,5,0
遼寧店,50嵐 遼寧店,25.0479328,121.542051,11:00–22:30,11,22,0,0,0,0,28,17,21,17,10,7,14,17,25,14,17,7,3,0
興隆店,50嵐 興隆店,25.0009852,121.5545048,10:00–22:00,10,22,0,0,0,0,53,60,53,53,36,40,40,43,26,16,13,20,0,0
龍山寺店,50嵐 龍山寺店,25.035454,121.4990366,10:00–22:00,10,22,0,0,0,0,27,38,46,44,45,56,75,91,94,81,64,36,0,0
雙連店,50嵐 雙連店,25.0602912,121.5214967,11:00–21:00,11,21,0,0,0,0,40,63,68,63,59,45,22,18,13,4,0,0,0,0
寶興店,50嵐 寶興店,25.0265055,121.493984,10:00–22:00,10,22,0,0,0,0,84,100,84,61,46,15,7,7,23,7,0,0,0,0
饒河店,50嵐 饒河店,25.0512463,121.5782476,11:00–22:00,11,22,0,0,0,0,46,23,23,7,7,15,7,7,15,7,0,7,0,0
